# IdentifierStatus.txt
# Date: 2025-08-01, 18:11:48 GMT
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Security Mechanisms for UTS #39
# Version: 17.0.0
#
# For documentation and usage, see https://www.unicode.org/reports/tr39
#
# Format
#
# Field 0: code point
# Field 1: Identifier_Status value
#          See the "Identifier_Status and Identifier_Type" table of UTS #39:
#          https://www.unicode.org/reports/tr39/#Identifier_Status_and_Type

#
# For the purpose of regular expressions, the property Identifier_Status is defined as
# an enumerated property of code points.
# The short name of Identifier_Status is ID_Status.
# The possible values are:
#   Allowed, Restricted
# The short name of each value is the same as its long name.

# All code points not explicitly listed for Identifier_Status
# have the value Restricted.

# @missing: 0000..10FFFF; Restricted


#	Identifier_Status:	Allowed

0DC0..0DC6    ; Allowed    # 3.0    [7] SINHALA LETTER VAYANNA..SINHALA LETTER FAYANNA
0DCA          ; Allowed    # 3.0        SINHALA SIGN AL-LAKUNA
0DCF..0DD4    ; Allowed    # 3.0    [6] SINHALA VOWEL SIGN AELA-PILLA..SINHALA VOWEL SIGN KETTI PAA-PILLA
0DD6          ; Allowed    # 3.0        SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD8..0DDE    ; Allowed    # 3.0    [7] SINHALA VOWEL SIGN GAETTA-PILLA..SINHALA VOWEL SIGN KOMBUVA HAA GAYANUKITTA
0DF2          ; Allowed    # 3.0        SINHALA VOWEL SIGN DIGA GAETTA-PILLA
0E01..0E32    ; Allowed    # 1.1   [50] THAI CHARACTER KO KAI..THAI CHARACTER SARA AA
0E34..0E3A    ; Allowed    # 1.1    [7] THAI CHARACTER SARA I..THAI CHARACTER PHINTHU
0E40..0E4D    ; Allowed    # 1.1   [14] THAI CHARACTER SARA E..THAI CHARACTER NIKHAHIT
0E50..0E59    ; Allowed    # 1.1   [10] THAI DIGIT ZERO..THAI DIGIT NINE
0E81..0E82    ; Allowed    # 1.1    [2] LAO LETTER KO..LAO LETTER KHO SUNG
0E84          ; Allowed    # 1.1        LAO LETTER KHO TAM
0E87..0E88    ; Allowed    # 1.1    [2] LAO LETTER NGO..LAO LETTER CO
0E8A          ; Allowed    # 1.1        LAO LETTER SO TAM
0E8D          ; Allowed    # 1.1        LAO LETTER NYO
0E94..0E97    ; Allowed    # 1.1    [4] LAO LETTER DO..LAO LETTER THO TAM
0E99..0E9F    ; Allowed    # 1.1    [7] LAO LETTER NO..LAO LETTER FO SUNG
0EA1..0EA3    ; Allowed    # 1.1    [3] LAO LETTER MO..LAO LETTER LO LING
0EA5          ; Allowed    # 1.1        LAO LETTER LO LOOT
0EA7          ; Allowed    # 1.1        LAO LETTER WO
0EAA..0EAB    ; Allowed    # 1.1    [2] LAO LETTER SO SUNG..LAO LETTER HO SUNG
0EAD..0EAE    ; Allowed    # 1.1    [2] LAO LETTER O..LAO LETTER HO TAM
0EB0..0EB2    ; Allowed    # 1.1    [3] LAO VOWEL SIGN A..LAO VOWEL SIGN AA
0EB4..0EB9    ; Allowed    # 1.1    [6] LAO VOWEL SIGN I..LAO VOWEL SIGN UU
0EBB..0EBD    ; Allowed    # 1.1    [3] LAO VOWEL SIGN MAI KON..LAO SEMIVOWEL SIGN NYO
0EC0..0EC4    ; Allowed    # 1.1    [5] LAO VOWEL SIGN E..LAO VOWEL SIGN AI
0EC6          ; Allowed    # 1.1        LAO KO LA
0EC8..0ECD    ; Allowed    # 1.1    [6] LAO TONE MAI EK..LAO NIGGAHITA
0ED0..0ED9    ; Allowed    # 1.1   [10] LAO DIGIT ZERO..LAO DIGIT NINE
0F0B          ; Allowed    # 2.0        TIBETAN MARK INTERSYLLABIC TSHEG
0F20..0F29    ; Allowed    # 2.0   [10] TIBETAN DIGIT ZERO..TIBETAN DIGIT NINE
0F40..0F42    ; Allowed    # 2.0    [3] TIBETAN LETTER KA..TIBETAN LETTER GA
0F44..0F47    ; Allowed    # 2.0    [4] TIBETAN LETTER NGA..TIBETAN LETTER JA
0F49..0F4C    ; Allowed    # 2.0    [4] TIBETAN LETTER NYA..TIBETAN LETTER DDA
0F4E..0F51    ; Allowed    # 2.0    [4] TIBETAN LETTER NNA..TIBETAN LETTER DA
0F53..0F56    ; Allowed    # 2.0    [4] TIBETAN LETTER NA..TIBETAN LETTER BA
0F58..0F5B    ; Allowed    # 2.0    [4] TIBETAN LETTER MA..TIBETAN LETTER DZA
0F5D..0F68    ; Allowed    # 2.0   [12] TIBETAN LETTER WA..TIBETAN LETTER A
0F71..0F72    ; Allowed    # 2.0    [2] TIBETAN VOWEL SIGN AA..TIBETAN VOWEL SIGN I
0F74          ; Allowed    # 2.0        TIBETAN VOWEL SIGN U
0F7A..0F80    ; Allowed    # 2.0    [7] TIBETAN VOWEL SIGN E..TIBETAN VOWEL SIGN REVERSED I
0F84          ; Allowed    # 2.0        TIBETAN MARK HALANTA
0F90..0F92    ; Allowed    # 2.0    [3] TIBETAN SUBJOINED LETTER KA..TIBETAN SUBJOINED LETTER GA
0F94..0F95    ; Allowed    # 2.0    [2] TIBETAN SUBJOINED LETTER NGA..TIBETAN SUBJOINED LETTER CA
0F96          ; Allowed    # 3.0        TIBETAN SUBJOINED LETTER CHA
0F97          ; Allowed    # 2.0        TIBETAN SUBJOINED LETTER JA
0F99..0F9C    ; Allowed    # 2.0    [4] TIBETAN SUBJOINED LETTER NYA..TIBETAN SUBJOINED LETTER DDA
0F9E..0FA1    ; Allowed    # 2.0    [4] TIBETAN SUBJOINED LETTER NNA..TIBETAN SUBJOINED LETTER DA
0FA3..0FA6    ; Allowed    # 2.0    [4] TIBETAN SUBJOINED LETTER NA..TIBETAN SUBJOINED LETTER BA
0FA8..0FAB    ; Allowed    # 2.0    [4] TIBETAN SUBJOINED LETTER MA..TIBETAN SUBJOINED LETTER DZA
0FAD          ; Allowed    # 2.0        TIBETAN SUBJOINED LETTER WA
0FB1..0FB7    ; Allowed    # 2.0    [7] TIBETAN SUBJOINED LETTER YA..TIBETAN SUBJOINED LETTER HA
0FB8          ; Allowed    # 3.0        TIBETAN SUBJOINED LETTER A
0FBA..0FBC    ; Allowed    # 3.0    [3] TIBETAN SUBJOINED LETTER FIXED-FORM WA..TIBETAN SUBJOINED LETTER FIXED-FORM RA
1000..1021    ; Allowed    # 3.0   [34] MYANMAR LETTER KA..MYANMAR LETTER A
1022          ; Allowed    # 5.1        MYANMAR LETTER SHAN A
1023..1027    ; Allowed    # 3.0    [5] MYANMAR LETTER I..MYANMAR LETTER E
1028          ; Allowed    # 5.1        MYANMAR LETTER MON E
1029..102A    ; Allowed    # 3.0    [2] MYANMAR LETTER O..MYANMAR LETTER AU
102B          ; Allowed    # 5.1        MYANMAR VOWEL SIGN TALL AA
102C..1032    ; Allowed    # 3.0    [7] MYANMAR VOWEL SIGN AA..MYANMAR VOWEL SIGN AI
1033..1035    ; Allowed    # 5.1    [3] MYANMAR VOWEL SIGN MON II..MYANMAR VOWEL SIGN E ABOVE
1036..1039    ; Allowed    # 3.0    [4] MYANMAR SIGN ANUSVARA..MYANMAR SIGN VIRAMA
103A..103F    ; Allowed    # 5.1    [6] MYANMAR SIGN ASAT..MYANMAR LETTER GREAT SA
1040..1049    ; Allowed    # 3.0   [10] MYANMAR DIGIT ZERO..MYANMAR DIGIT NINE
105A..1064    ; Allowed    # 5.1   [11] MYANMAR LETTER MON NGA..MYANMAR TONE MARK SGAW KAREN KE PHO
1075..108A    ; Allowed    # 5.1   [22] MYANMAR LETTER SHAN KA..MYANMAR SIGN SHAN TONE-6
108F          ; Allowed    # 5.1        MYANMAR SIGN RUMAI PALAUNG TONE-5
10C7          ; Allowed    # 6.1        GEORGIAN CAPITAL LETTER YN
10CD          ; Allowed    # 6.1        GEORGIAN CAPITAL LETTER AEN
10D0..10F0    ; Allowed    # 1.1   [33] GEORGIAN LETTER AN..GEORGIAN LETTER HAE
1200..1206    ; Allowed    # 3.0    [7] ETHIOPIC SYLLABLE HA..ETHIOPIC SYLLABLE HO
1208..1246    ; Allowed    # 3.0   [63] ETHIOPIC SYLLABLE LA..ETHIOPIC SYLLABLE QO
1247          ; Allowed    # 4.1        ETHIOPIC SYLLABLE QOA
1248          ; Allowed    # 3.0        ETHIOPIC SYLLABLE QWA
124A..124D    ; Allowed    # 3.0    [4] ETHIOPIC SYLLABLE QWI..ETHIOPIC SYLLABLE QWE
1250..1256    ; Allowed    # 3.0    [7] ETHIOPIC SYLLABLE QHA..ETHIOPIC SYLLABLE QHO
1258          ; Allowed    # 3.0        ETHIOPIC SYLLABLE QHWA
125A..125D    ; Allowed    # 3.0    [4] ETHIOPIC SYLLABLE QHWI..ETHIOPIC SYLLABLE QHWE
1260..1286    ; Allowed    # 3.0   [39] ETHIOPIC SYLLABLE BA..ETHIOPIC SYLLABLE XO
1288          ; Allowed    # 3.0        ETHIOPIC SYLLABLE XWA
128A..128D    ; Allowed    # 3.0    [4] ETHIOPIC SYLLABLE XWI..ETHIOPIC SYLLABLE XWE
1290..12AE    ; Allowed    # 3.0   [31] ETHIOPIC SYLLABLE NA..ETHIOPIC SYLLABLE KO
12B0          ; Allowed    # 3.0        ETHIOPIC SYLLABLE KWA
12B2..12B5    ; Allowed    # 3.0    [4] ETHIOPIC SYLLABLE KWI..ETHIOPIC SYLLABLE KWE
12B8..12BE    ; Allowed    # 3.0    [7] ETHIOPIC SYLLABLE KXA..ETHIOPIC SYLLABLE KXO
12C0          ; Allowed    # 3.0        ETHIOPIC SYLLABLE KXWA
12C2..12C5    ; Allowed    # 3.0    [4] ETHIOPIC SYLLABLE KXWI..ETHIOPIC SYLLABLE KXWE
12C8..12CE    ; Allowed    # 3.0    [7] ETHIOPIC SYLLABLE WA..ETHIOPIC SYLLABLE WO
12CF          ; Allowed    # 4.1        ETHIOPIC SYLLABLE WOA
12D0..12D6    ; Allowed    # 3.0    [7] ETHIOPIC SYLLABLE PHARYNGEAL A..ETHIOPIC SYLLABLE PHARYNGEAL O
12D8..12EE    ; Allowed    # 3.0   [23] ETHIOPIC SYLLABLE ZA..ETHIOPIC SYLLABLE YO
12EF          ; Allowed    # 4.1        ETHIOPIC SYLLABLE YOA
12F0..12F7    ; Allowed    # 3.0    [8] ETHIOPIC SYLLABLE DA..ETHIOPIC SYLLABLE DWA
1300..130E    ; Allowed    # 3.0   [15] ETHIOPIC SYLLABLE JA..ETHIOPIC SYLLABLE GO
1310          ; Allowed    # 3.0        ETHIOPIC SYLLABLE GWA
1312..1315    ; Allowed    # 3.0    [4] ETHIOPIC SYLLABLE GWI..ETHIOPIC SYLLABLE GWE
1318..131E    ; Allowed    # 3.0    [7] ETHIOPIC SYLLABLE GGA..ETHIOPIC SYLLABLE GGO
1320..1346    ; Allowed    # 3.0   [39] ETHIOPIC SYLLABLE THA..ETHIOPIC SYLLABLE TZO
1348..1359    ; Allowed    # 3.0   [18] ETHIOPIC SYLLABLE FA..ETHIOPIC SYLLABLE MYA
1780..179C    ; Allowed    # 3.0   [29] KHMER LETTER KA..KHMER LETTER VO
179F..17A2    ; Allowed    # 3.0    [4] KHMER LETTER SA..KHMER LETTER QA
17A5..17A7    ; Allowed    # 3.0    [3] KHMER INDEPENDENT VOWEL QI..KHMER INDEPENDENT VOWEL QU
17AA..17B3    ; Allowed    # 3.0   [10] KHMER INDEPENDENT VOWEL QUUV..KHMER INDEPENDENT VOWEL QAU
17B6..17CD    ; Allowed    # 3.0   [24] KHMER VOWEL SIGN AA..KHMER SIGN TOANDAKHIAT
17D0          ; Allowed    # 3.0        KHMER SIGN SAMYOK SANNYA
17D2          ; Allowed    # 3.0        KHMER SIGN COENG
17E0..17E9    ; Allowed    # 3.0   [10] KHMER DIGIT ZERO..KHMER DIGIT NINE
1C90..1CBA    ; Allowed    # 11.0  [43] GEORGIAN MTAVRULI CAPITAL LETTER AN..GEORGIAN MTAVRULI CAPITAL LETTER AIN
1CBD..1CBF    ; Allowed    # 11.0   [3] GEORGIAN MTAVRULI CAPITAL LETTER AEN..GEORGIAN MTAVRULI CAPITAL LETTER LABIAL SIGN
1E0C..1E0D    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER D WITH DOT BELOW..LATIN SMALL LETTER D WITH DOT BELOW
1E12..1E13    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW..LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
1E20..1E21    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER G WITH MACRON..LATIN SMALL LETTER G WITH MACRON
1E24..1E25    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER H WITH DOT BELOW..LATIN SMALL LETTER H WITH DOT BELOW
1E36..1E37    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER L WITH DOT BELOW..LATIN SMALL LETTER L WITH DOT BELOW
1E3C..1E3F    ; Allowed    # 1.1    [4] LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW..LATIN SMALL LETTER M WITH ACUTE
1E42..1E4B    ; Allowed    # 1.1   [10] LATIN CAPITAL LETTER M WITH DOT BELOW..LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
1E5A..1E5B    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER R WITH DOT BELOW..LATIN SMALL LETTER R WITH DOT BELOW
1E62..1E63    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER S WITH DOT BELOW..LATIN SMALL LETTER S WITH DOT BELOW
1E6C..1E6D    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER T WITH DOT BELOW..LATIN SMALL LETTER T WITH DOT BELOW
1E70..1E71    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW..LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
1E8C..1E8D    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER X WITH DIAERESIS..LATIN SMALL LETTER X WITH DIAERESIS
1E92..1E93    ; Allowed    # 1.1    [2] LATIN CAPITAL LETTER Z WITH DOT BELOW..LATIN SMALL LETTER Z WITH DOT BELOW
1E9E          ; Allowed    # 5.1        LATIN CAPITAL LETTER SHARP S
1EA0..1EF9    ; Allowed    # 1.1   [90] LATIN CAPITAL LETTER A WITH DOT BELOW..LATIN SMALL LETTER Y WITH TILDE
1FA0..1FAF    ; Allowed    # 1.1   [16] GREEK SMALL LETTER OMEGA WITH PSILI AND YPOGEGRAMMENI..GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1FB2..1FB4    ; Allowed    # 1.1    [3] GREEK SMALL LETTER ALPHA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
1FEC          ; Allowed    # 1.1        GREEK CAPITAL LETTER RHO WITH DASIA
2010          ; Allowed    # 1.1        HYPHEN
2019          ; Allowed    # 1.1        RIGHT SINGLE QUOTATION MARK
2027          ; Allowed    # 1.1        HYPHENATION POINT
3005..3007    ; Allowed    # 1.1    [3] IDEOGRAPHIC ITERATION MARK..IDEOGRAPHIC NUMBER ZERO
3041..3094    ; Allowed    # 1.1   [84] HIRAGANA LETTER SMALL A..HIRAGANA LETTER VU
3095..3096    ; Allowed    # 3.2    [2] HIRAGANA LETTER SMALL KA..HIRAGANA LETTER SMALL KE
309D..309E    ; Allowed    # 1.1    [2] HIRAGANA ITERATION MARK..HIRAGANA VOICED ITERATION MARK
30A0          ; Allowed    # 3.2        KATAKANA-HIRAGANA DOUBLE HYPHEN
30A1..30FE    ; Allowed    # 1.1   [94] KATAKANA LETTER SMALL A..KATAKANA VOICED ITERATION MARK
3447          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3447
3473          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3473
34E4          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-34E4
3577          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3577
359E          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-359E
35A1          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-35A1
35AD          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-35AD
35BF          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-35BF
35CE          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-35CE
35F3          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-35F3
35FE          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-35FE
360E          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-360E
361A          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-361A
3918          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3918
3960          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3960
396E          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-396E
39CF..39D0    ; Allowed    # 3.0    [2] CJK UNIFIED IDEOGRAPH-39CF..CJK UNIFIED IDEOGRAPH-39D0
39DB          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-39DB
39DF          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-39DF
39F8          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-39F8
39FE          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-39FE
3A18          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3A18
3A52          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3A52
3A5C          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3A5C
3A67          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3A67
3A73          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3A73
3B39          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3B39
3B4E          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3B4E
3BA3          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3BA3
3C6E          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3C6E
3CE0          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3CE0
3DE7          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3DE7
3DEB          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3DEB
3E74          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3E74
3ED0          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-3ED0
4056          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4056
4065          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4065
406A          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-406A
40BB          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-40BB
40DF          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-40DF
4137          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4137
415F          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-415F
4337          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4337
43AC          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-43AC
43B1          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-43B1
43D3          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-43D3
43DD          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-43DD
4443          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4443
44D6          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-44D6
44EA          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-44EA
4606          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4606
464C          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-464C
4661          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4661
4723          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4723
4729          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4729
477C          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-477C
478D          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-478D
47F4          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-47F4
4882          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4882
4947          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4947
497A          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-497A
497D          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-497D
4982..4983    ; Allowed    # 3.0    [2] CJK UNIFIED IDEOGRAPH-4982..CJK UNIFIED IDEOGRAPH-4983
4985..4986    ; Allowed    # 3.0    [2] CJK UNIFIED IDEOGRAPH-4985..CJK UNIFIED IDEOGRAPH-4986
499B          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-499B
499F          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-499F
49B6..49B7    ; Allowed    # 3.0    [2] CJK UNIFIED IDEOGRAPH-49B6..CJK UNIFIED IDEOGRAPH-49B7
4A12          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4A12
4AB8          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4AB8
4C77          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4C77
4C7D          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4C7D
4C81          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4C81
4C85          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4C85
4C9D..4CA3    ; Allowed    # 3.0    [7] CJK UNIFIED IDEOGRAPH-4C9D..CJK UNIFIED IDEOGRAPH-4CA3
4D13..4D19    ; Allowed    # 3.0    [7] CJK UNIFIED IDEOGRAPH-4D13..CJK UNIFIED IDEOGRAPH-4D19
4DAE          ; Allowed    # 3.0        CJK UNIFIED IDEOGRAPH-4DAE
4E00..4E11    ; Allowed    # 1.1   [18] CJK UNIFIED IDEOGRAPH-4E00..CJK UNIFIED IDEOGRAPH-4E11
4E13..4E28    ; Allowed    # 1.1   [22] CJK UNIFIED IDEOGRAPH-4E13..CJK UNIFIED IDEOGRAPH-4E28
4E2A..4E67    ; Allowed    # 1.1   [62] CJK UNIFIED IDEOGRAPH-4E2A..CJK UNIFIED IDEOGRAPH-4E67
4E69..4E78    ; Allowed    # 1.1   [16] CJK UNIFIED IDEOGRAPH-4E69..CJK UNIFIED IDEOGRAPH-4E78
4E7A..4E95    ; Allowed    # 1.1   [28] CJK UNIFIED IDEOGRAPH-4E7A..CJK UNIFIED IDEOGRAPH-4E95
4E97..4EA2    ; Allowed    # 1.1   [12] CJK UNIFIED IDEOGRAPH-4E97..CJK UNIFIED IDEOGRAPH-4EA2
4EA4..4EBB    ; Allowed    # 1.1   [24] CJK UNIFIED IDEOGRAPH-4EA4..CJK UNIFIED IDEOGRAPH-4EBB
4EBD..4ECB    ; Allowed    # 1.1   [15] CJK UNIFIED IDEOGRAPH-4EBD..CJK UNIFIED IDEOGRAPH-4ECB
4ECD..4EE6    ; Allowed    # 1.1   [26] CJK UNIFIED IDEOGRAPH-4ECD..CJK UNIFIED IDEOGRAPH-4EE6
4EE8..4EF7    ; Allowed    # 1.1   [16] CJK UNIFIED IDEOGRAPH-4EE8..CJK UNIFIED IDEOGRAPH-4EF7
4EFB          ; Allowed    # 1.1        CJK UNIFIED IDEOGRAPH-4EFB
4EFD          ; Allowed    # 1.1        CJK UNIFIED IDEOGRAPH-4EFD
4EFF..4F06    ; Allowed    # 1.1    [8] CJK UNIFIED IDEOGRAPH-4EFF..CJK UNIFIED IDEOGRAPH-4F06
4F08..4F15    ; Allowed    # 1.1   [14] CJK UNIFIED IDEOGRAPH-4F08..CJK UNIFIED IDEOGRAPH-4F15
4F17..4F27    ; Allowed    # 1.1   [17] CJK UNIFIED IDEOGRAPH-4F17..CJK UNIFIED IDEOGRAPH-4F27
4F29..4F30    ; Allowed    # 1.1    [8] CJK UNIFIED IDEOGRAPH-4F29..CJK UNIFIED IDEOGRAPH-4F30
4F32..4F34    ; Allowed    # 1.1    [3] CJK UNIFIED IDEOGRAPH-4F32..CJK UNIFIED IDEOGRAPH-4F34
4F36          ; Allowed    # 1.1        CJK UNIFIED IDEOGRAPH-4F36
4F38..4F3F    ; Allowed    # 1.1    [8] CJK UNIFIED IDEOGRAPH-4F38..CJK UNIFIED IDEOGRAPH-4F3F
4F41..4F43    ; Allowed    # 1.1    [3] CJK UNIFIED IDEOGRAPH-4F41..CJK UNIFIED IDEOGRAPH-4F43
4F45..4F70    ; Allowed    # 1.1   [44] CJK UNIFIED IDEOGRAPH-4F45..CJK UNIFIED IDEOGRAPH-4F70
4F72..4F8B    ; Allowed    # 1.1   [26] CJK UNIFIED IDEOGRAPH-4F72..CJK UNIFIED IDEOGRAPH-4F8B
4F8D          ; Allowed    # 1.1        CJK UNIFIED IDEOGRAPH-4F8D
4F8F..4FA1    ; Allowed    # 1.1   [19] CJK UNIFIED IDEOGRAPH-4F8F..CJK UNIFIED IDEOGRAPH-4FA1
4FA3..4FBC    ; Allowed    # 1.1   [26] CJK UNIFIED IDEOGRAPH-4FA3..CJK UNIFIED IDEOGRAPH-4FBC
4FBE..4FC5    ; Allowed    # 1.1    [8] CJK UNIFIED IDEOGRAPH-4FBE..CJK UNIFIED IDEOGRAPH-4FC5
4FC7          ; Allowed    # 1.1        CJK UNIFIED IDEOGRAPH-4FC7
4FC9..4FCB    ; Allowed    # 1.1    [3] CJK UNIFIED IDEOGRAPH-4FC9..CJK UNIFIED IDEOGRAPH-4FCB
4FCD..4FE1    ; Allowed    # 1.1   [21] CJK UNIFIED IDEOGRAPH-4FCD..CJK UNIFIED IDEOGRAPH-4FE1
4FE3..4FFB    ; Allowed    # 1.1   [25] CJK UNIFIED IDEOGRAPH-4FE3..CJK UNIFIED IDEOGRAPH-4FFB
4FFE..500F    ; Allowed    # 1.1   [18] CJK UNIFIED IDEOGRAPH-4FFE..CJK UNIFIED IDEOGRAPH-500F
5011..5033    ; Allowed    # 1.1   [35] CJK UNIFIED IDEOGRAPH-5011..CJK UNIFIED IDEOGRAPH-5033
5035..5037    ; Allowed    # 1.1    [3] CJK UNIFIED IDEOGRAPH-5035..CJK UNIFIED IDEOGRAPH-5037
5039..503C    ; Allowed    # 1.1    [4] CJK UNIFIED IDEOGRAPH-5039..CJK UNIFIED IDEOGRAPH-503C
503E..5041    ; Allowed    # 1.1    [4] CJK UNIFIED IDEOGRAPH-503E..CJK UNIFIED IDEOGRAPH-5041
5043..5051    ; Allowed    # 1.1   [15] CJK UNIFIED IDEOGRAPH-5043..CJK UNIFIED IDEOGRAPH-5051
5053..5057    ; Allowed    # 1.1    [5] CJK UNIFIED IDEOGRAPH-5053..CJK UNIFIED IDEOGRAPH-5057
5059..507B    ; Allowed    # 1.1   [35] CJK UNIFIED IDEOGRAPH-5059..CJK UNIFIED IDEOGRAPH-507B
507D..5080    ; Allowed    # 1.1    [4] CJK UNIFIED IDEOGRAPH-507D..CJK UNIFIED IDEOGRAPH-5080
5082..5092    ; Allowed    # 1.1   [17] CJK UNIFIED IDEOGRAPH-5082..CJK UNIFIED IDEOGRAPH-5092
5094..5096    ; Allowed    # 1.1    [3] CJK UNIFIED IDEOGRAPH-5094..CJK UNIFIED IDEOGRAPH-5096
5098..509E    ; Allowed    # 1.1    [7] CJK UNIFIED IDEOGRAPH-5098..CJK UNIFIED IDEOGRAPH-509E
50A2..50B8    ; Allowed    # 1.1   [23] CJK UNIFIED IDEOGRAPH-50A2..CJK UNIFIED IDEOGRAPH-50B8
